"サービス","OpenSearch Service($)","Savings Plans for  Compute usage($)","Support (Enterprise)($)","Relational Database Service($)","Tax($)","S3($)","Elastic Container Service($)","CloudFront($)","Redshift($)","CloudWatch($)","ElastiCache($)","CloudFront Security Bundle($)","VPC($)","Elastic Load Balancing($)","GuardDuty($)","CloudTrail($)","EC2 その他($)","Kinesis Firehose($)","WAF($)","EC2 Container Registry (ECR)($)","Global Accelerator($)","EC2 インスタンス($)","Athena($)","Lambda($)","Key Management Service($)","Config($)","Route 53($)","SQS($)","Managed Grafana($)","Cost Explorer($)","Secrets Manager($)","CloudWatch Events($)","CodePipeline($)","SES($)","Elastic File System($)","CodeBuild($)","Systems Manager($)","SNS($)","API Gateway($)","Location Service($)","CloudShell($)","Step Functions($)","Glue($)","DynamoDB($)","Elastic Container Registry Public($)","QuickSight($)","Certificate Manager($)","X-Ray($)","CloudFormation($)","Refund($)","合計コスト($)"
"2025-11-09","19.5167946342","0","","32.747170765","","56.8481153795","8.8835946481","8.563896365","4.8885218248","13.6327439114","0","","12.7037803468","11.9162494677","3.7488327335","0.761942","5.9595018872","3.4482412144","1.2666666744","2.6625282624","2.4095181989","0.0131966277","0.00955","0.7997154781","1.0155693336","0.081","0.2204644","0.2785757","","0.086156","0.0133333344","0.011688","","0.0003004979","0.0001865853","","","0.0000002415","","","","","0","0","0","0","","","","","192.4878345118"
"2025-11-10","19.5944690289","0","","35.0938667875","","60.4953832643","23.8564585418","6.6453606374","5.8765343101","16.7302618961","0","","12.7029169968","12.6702862072","4.6901612912","1.326562","9.9652835803","8.7762694359","1.2666666744","2.6643486825","2.4137413834","0.0384412805","0.00955","1.2373239754","1.0319373336","0.108","0.3818936","0.3375163","","0.086101","0.0133333344","0.012112","","0.0027044763","0.0001892733","","0.003126","0.0000015512","0.0000027689","","","","0","0","0","0","","","","","228.0308036114"
"2025-11-11","19.5854214253","0","","34.6579536724","","62.3336112911","22.110186213","13.8516566979","5.7448404039","16.6451105723","0","","12.7041370045","12.5864762079","4.6517154503","1.385552","9.9103577233","8.5740542223","1.2666666744","2.6666360087","2.4073824767","0.0321902764","0.020945","1.3059053798","1.0307583336","0.114","0.3627636","0.3698328","","0.086093","0.0133333344","0.012065","","0.0103168837","0.0001929065","","","0.0000075896","0.0000027689","","","","0","0","0","0","","","","","234.4401649169"
"2025-11-12","19.5829735366","0","","35.8313542665","","62.0979265602","22.6271920211","13.802304197","4.6909664278","16.533650821","0","","12.7020004974","12.2371872087","4.5772686974","1.298556","10.9579081321","8.9289088438","1.2666666744","2.6766447917","2.4055678344","0.0341943463","0.01164","1.2656492915","1.0196523336","0.114","0.3425996","0.3489256","","0.0863323333","0.0133333344","0.012018","","0.003605977","0.0001959023","","","0.0000132845","0.0000027689","","","","0","0","0","0","","","","","235.4692392819"
"2025-11-13","19.5658612335","0","","34.1100409444","","58.6691378289","21.4838782243","12.9316463614","5.217912329","16.1963470645","0","","12.6994857618","12.1560786879","4.5688967824","1.287857","9.1592409456","8.0102885624","1.2666666744","2.6705487094","2.408588629","0.0320736899","0.031475","0.9726662314","1.0233873336","0.117","0.4014008","0.317045","","0.08615","0.0133333344","0.01197","","0.0020033172","0.0001979727","","","0.0000033814","0.0000083028","","","","0","0","0","0","","","","","225.4111901023"
"2025-11-14","19.5650634956","0","","36.927327434","","58.0288821672","21.7959954087","12.6500677382","5.0203430207","16.2518144394","0","","12.700758533","12.0941941557","4.5813549873","1.255167","8.8014771143","7.3213115502","1.2666666744","2.6720465111","2.4119399338","0.0296568285","0.081995","1.0775232317","1.0231383336","0.117","0.3967044","0.330444395","","0.0862216667","0.0133333344","0.012095","","0.0015024863","0.0001984468","","","0.0000099709","0.0000097541","","","0.0000000021","0","0","0","0","","","","","226.5142430137"
"2025-11-15","19.5040287182","0","","29.2818641981","","56.8828170399","9.7429361242","7.3710514494","4.8227551814","14.3290911491","0","","12.6954420998","11.6263677607","3.7324487913","0.692649","5.7395790584","3.2265958217","1.2666666744","2.6724716253","2.4087314097","0.0140573733","0.00955","0.7768224005","1.0179303336","0.129","0.2645364","0.2565875","","0.086399","0.0133333344","0.01192","0","0.0003004978","0.0001998253","0","","0.0000032405","","","","","0","0","0","0","","","","","188.576136007"
"2025-11-16","19.5064877375","0","","25.6740460159","","57.3223748208","9.2713170227","7.3268290545","4.7569019904","14.3054659185","0","","12.6959794606","11.662381778","3.7174137314","0.695226","5.8237556751","3.3053260804","1.2666666744","2.6724716256","2.4066291282","0.0148652829","0.00955","0.7389114803","1.0157463336","0.096","0.254276","0.2610948","","0.086484","0.0133333344","0.011567","","0.0007011595","0.0002020185","","","0.0000002415","","","","","0","0","0","0","","","","","184.9120043647"
"2025-11-17","19.5724213629","0","","33.8892203551","","61.0087579336","20.7520874177","12.2177843529","5.2179800846","16.299260831","0","","12.6996158092","12.2999820275","4.8908992634","1.272144","9.2378794137","8.1179820448","1.2666666744","2.6749251514","2.4059301753","0.0324251773","0.00965","0.9383668755","1.0328973336","0.102","0.3690988","0.3018829","","0.0864763333","0.0133333344","0.012051","","0.002804475","0.0002046948","","","0.0000013098","0.0000096217","","","","0","0","0","0","","","","","226.7247387529"
"2025-11-18","19.5599737623","0","","33.4981779725","","59.4143127068","18.354576984","11.6986408308","5.2838778283","16.0610236103","0","","12.6971050155","12.2365778866","4.6217852736","1.292326","8.8966732109","7.5064232832","1.2666666744","2.6774925067","2.405514978","0.0284643482","0.018","0.9875170281","1.0227513336","0.114","0.4134676","0.3129731","","0.0864763333","0.0133333344","0.012044","","0.0021034822","0.0002063076","","","0.0000096614","0.0000027689","","","","0","0","0","0","","","","","220.4824978216"
